日期,SPU ID,展现数,点击数,点击率(%),花费,千次展现成本,平均点击成本,投产比,转化率(%),总订单金额
20260921,10025384409258,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384421033,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10028005403878,11,2,18.18,0.96,87.27,0.48,0.00,0.00,0.00
20260921,10028469365760,39,1,2.56,1.26,32.31,1.26,0.00,0.00,0.00
20260921,10025384396168,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10029128476645,27,3,11.11,1.53,56.67,0.51,0.00,0.00,0.00
20260921,10025384404734,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384393780,507,22,4.34,38.67,76.27,1.76,2.30,4.55,89.00
20260921,10028317202774,30,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10033758062001,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384392785,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384398866,94,7,7.45,1.21,12.87,0.17,0.00,0.00,0.00
20260921,10034365091854,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10028127816877,65,3,4.62,1.17,18.00,0.39,0.00,0.00,0.00
20260921,10025384408749,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10030658427493,59,4,6.78,0.94,15.93,0.24,0.00,0.00,0.00
20260921,10025384427835,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10028316038057,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384421318,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10033701407346,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384418318,12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384386083,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384405046,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384394885,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384375594,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10026091802665,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384385799,49,5,10.20,1.35,27.55,0.27,94.89,40.00,128.10
20260921,10026527524610,33,1,3.03,1.30,39.39,1.30,0.00,0.00,0.00
20260921,10025384424512,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10028469168384,1261,36,2.85,101.00,80.10,2.81,0.00,0.00,0.00
20260921,10025384421430,53,3,5.66,0.46,8.68,0.15,0.00,0.00,0.00
20260921,10025384417634,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10028007135350,7317,327,4.47,553.11,75.59,1.69,7.87,2.45,4354.71
20260921,10025384420542,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384408132,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384421429,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384408247,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10033906641138,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384397980,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025939088316,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384377809,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384379700,4,1,25.00,0.10,25.00,0.10,0.00,0.00,0.00
20260921,10025384423325,1,1,100.00,0.10,100.00,0.10,0.00,0.00,0.00
20260921,10025384406727,11,1,9.09,0.61,55.45,0.61,0.00,0.00,0.00
20260921,10025384378288,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10026793493326,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025397806625,2072,125,6.03,203.23,98.08,1.63,4.14,4.80,840.90
20260921,10027460155333,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10026798172856,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10026609913039,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384418938,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025397793054,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025397788065,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384389074,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384362308,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384424013,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10026124119306,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10026465128258,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384392464,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384428518,30,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10028133190363,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10027091565546,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025397765200,66,1,1.52,0.33,5.00,0.33,0.00,0.00,0.00
20260921,10025384408251,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260921,10025384419311,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384398866,65,2,3.08,0.38,5.85,0.19,131.32,50.00,49.90
20260920,10025384405046,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10027091565546,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10028317202774,29,2,6.90,2.26,77.93,1.13,0.00,0.00,0.00
20260920,10025384378288,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384423325,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10034365091854,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384385799,43,2,4.65,0.34,7.91,0.17,0.00,0.00,0.00
20260920,10025384408749,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384408247,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384421430,41,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10026091802665,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10033758062001,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10028469365760,65,4,6.15,2.77,42.62,0.69,0.00,0.00,0.00
20260920,10030658427493,43,1,2.33,1.65,38.37,1.65,0.00,0.00,0.00
20260920,10025384393780,246,9,3.66,12.01,48.82,1.33,0.00,0.00,0.00
20260920,10025384392464,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10028007135350,6911,286,4.14,435.30,62.99,1.52,6.95,2.10,3024.00
20260920,10025384418938,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10028316038057,17,1,5.88,1.32,77.65,1.32,0.00,0.00,0.00
20260920,10025397765200,61,4,6.56,2.18,35.74,0.55,0.00,0.00,0.00
20260920,10025384408132,3,1,33.33,1.19,396.67,1.19,0.00,0.00,0.00
20260920,10025384369305,7,1,14.29,0.68,97.14,0.68,0.00,0.00,0.00
20260920,10033906641138,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384420542,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10028127816877,78,6,7.69,1.87,23.97,0.31,0.00,0.00,0.00
20260920,10025384392785,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10025384421318,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20260920,10028410805957,259,19,7.34,9.22,35.60,0.49,62.47,10.53,576.00
20260920,10025384389074,13,1,7.69,0.73,56.15,0.73,0.00,0.00,0.00
20260920,10028133190363,23,1,4.35,0.11,4.78,0.11,0.00,0.00,0.00
